year,VALUE,source
2004,11167599.0,Archive
2005,14931486.0,Archive
2006,16819904.0,Archive
2007,17791745.0,Archive
2008,13500000.0,Archive
2009,5093666.0,Archive
2010,3464683.0,Archive
2011,3003691.0,Archive
2012,3046316.833311856,PCHIP-fill
2013,3157868.6666237116,PCHIP-fill
2014,3313858.0,Archive
2015,3586357.1052906145,PCHIP-fill
2016,4064568.710516797,PCHIP-fill
2017,4749700.0,Archive
2018,6219541.465999999,Archive
2019,8825130.070000006,Archive
2020,8228404.0,Archive
2021,9043749.0,Archive
2022,8267813.0,Archive
2023,9042401.849412803,Archive
2024,7497697.086630688,EPA-scaled
2025,8852713.070865627,EPA-scaled
